Specimen Type,Lab Test Name,LBTEST,LBTESTCD,Collected Unit,Standard Unit,Standard Conversion Factor,Creation Date,Last Modified Date,Reference Standard Unit
serum,"1,25-Dihydroxyvitamin D","1, 25-Dihydroxyvitamin D",VITDAT,pg/mL,pmol/L,2.6,2018/4/27,,Y
plasma,"1,25-Dihydroxyvitamin D","1, 25-Dihydroxyvitamin D",VITDAT,pmol/L,pmol/L,1,2018/4/27,,Y
serum,"1,25-Dihydroxyvitamin D","1, 25-Dihydroxyvitamin D",VITDAT,pmol/L,pmol/L,1,2018/4/27,,Y
plasma,"1,25-Dihydroxyvitamin D","1, 25-Dihydroxyvitamin D",VITDAT,pg/mL,pmol/L,2.6,2018/4/27,,Y
plasma,"1,5 Anhydroglucitol","1,5-Anhydroglucitol",AG1_5,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,"1,5 Anhydroglucitol","1,5-Anhydroglucitol",AG1_5,microgm/mL,microgm/mL,1,2018/4/27,,N
plasma,25-Hydroxyvitamin D,25-Hydroxyvitamin D,VITDIT,ng/mL,nmol/L,2.496,2018/4/27,,Y
serum,25-Hydroxyvitamin D,25-Hydroxyvitamin D,VITDIT,nmol/L,nmol/L,1,2018/4/27,,Y
blood,25-Hydroxyvitamin D,25-Hydroxyvitamin D,VITDIT,ng/mL,nmol/L,2.496,2018/4/27,,Y
serum,25-Hydroxyvitamin D,25-Hydroxyvitamin D,VITDIT,ng/mL,nmol/L,2.496,2018/4/27,,Y
plasma,25-Hydroxyvitamin D,25-Hydroxyvitamin D,VITDIT,nmol/L,nmol/L,1,2018/4/27,,Y
blood,25-Hydroxyvitamin D,25-Hydroxyvitamin D,VITDIT,microgm/L,nmol/L,2.496,2018/4/27,,Y
blood,25-Hydroxyvitamin D,25-Hydroxyvitamin D,VITDIT,nmol/L,nmol/L,1,2018/4/27,,Y
serum,Acetaminophen,Acetaminophen,ACETAMIN,microgm/mL,micromol/L,6.62,2018/4/27,,Y
plasma,Acetaminophen,Acetaminophen,ACETAMIN,microgm/mL,micromol/L,6.62,2018/4/27,,Y
blood,Acetaminophen,Acetaminophen,ACETAMIN,microgm/mL,micromol/L,6.62,2018/4/27,,Y
plasma,Acetoacetic Acid,Acetoacetic Acid,ACETOAC,mg/L,mmol/L,0.0098,2018/4/27,,Y
plasma,Acetoacetic Acid,Acetoacetic Acid,ACETOAC,mg/dL,mmol/L,0.098,2018/4/27,,Y
blood,Acetoacetic Acid,Acetoacetic Acid,ACETOAC,mmol/L,mmol/L,1,2018/4/27,,Y
serum,Acetoacetic Acid,Acetoacetic Acid,ACETOAC,mg/dL,mmol/L,0.098,2018/4/27,,Y
serum,Acetoacetic Acid,Acetoacetic Acid,ACETOAC,micromol/L,mmol/L,0.001,2018/4/27,,Y
serum,Acetoacetic Acid,Acetoacetic Acid,ACETOAC,mg/L,mmol/L,0.0098,2018/4/27,,Y
serum,Acetoacetic Acid,Acetoacetic Acid,ACETOAC,mmol/L,mmol/L,1,2018/4/27,,Y
plasma,Acetoacetic Acid,Acetoacetic Acid,ACETOAC,micromol/L,mmol/L,0.001,2018/4/27,,Y
blood,Acetoacetic Acid,Acetoacetic Acid,ACETOAC,mg/L,mmol/L,0.0098,2018/4/27,,Y
blood,Acetoacetic Acid,Acetoacetic Acid,ACETOAC,mg/dL,mmol/L,0.098,2018/4/27,,Y
blood,Acetoacetic Acid,Acetoacetic Acid,ACETOAC,micromol/L,mmol/L,0.001,2018/4/27,,Y
plasma,Acetoacetic Acid,Acetoacetic Acid,ACETOAC,mmol/L,mmol/L,1,2018/4/27,,Y
serum,Acetylcholine,Acetylcholine,ACH,nmol/L,nmol/L,1,2018/4/27,,Y
plasma,Activated Partial Thromboplastin Time,Activated Partial Thromboplastin Time,APTT,sec,sec,1,2018/4/27,,Y
blood,Activated Partial Thromboplastin Time,Activated Partial Thromboplastin Time,APTT,ratio (/),ratio (/),1,2018/4/27,,Y
blood,Activated Partial Thromboplastin Time,Activated Partial Thromboplastin Time,APTT,sec,sec,1,2018/4/27,,Y
plasma,Activated Partial Thromboplastin Time,Activated Partial Thromboplastin Time,APTT,ratio (/),ratio (/),1,2018/4/27,,Y
serum,Adiponectin,Adiponectin,,microgm/mL,microgm/mL,1,2018/4/27,,N
plasma,Adiponectin,Adiponectin,,microgm/mL,microgm/mL,1,2018/4/27,,N
plasma,"Adiponectin, High Molecular Weight","Adiponectin, High Molecular Weight",,microgm/mL,microgm/mL,1,2018/4/27,,N
plasma,Adrenocorticotropic Hormone,Adrenocorticotropic Hormone,,pg/mL,pmol/L,0.22,2018/4/27,,Y
